CHEART	Baseline Pulse Rate
BDIAB	History of Diabetes at Baseline
BHYPER	History of Hypertension at Baseline
BMI	History of Myocardial Infarction at Baseline
BANGINA	History of Angina at Baseline
BCONG	History of Congestive Heart Failure at Baseline
BVAL	History of Valvular Heart Disease at Baseline
ASPIRIN	Aspirin Use prior to Randomization
NRANKIN	Prestroke Rankin
NSTHX	Patient Reported Prior Stroke at Baseline
NTIAHX	Patient Reported Prior TIA at Baseline
PATRIAL	Atrial Fibrillation at Admission
TREATCD	Treatment Code
CURSMKER	Smoking in Year prior to This Stroke
NOPDIS	No Preexisting Disability at Baseline
CSYS	Baseline Systolic BP
CDIA	Baseline Diastolic BP
BGENDER	Patient's Gender
BRACE	Patient's Race
TWEIGHT	Estimated Weight (kg) at Randomization
TDX	Presumptive Diagnosis at Time of Treatment
AGE	Age in Years
WEIGHT	Actual Weight (kg) Measured after Randomization
LGLU	Serum Glucose at Baseline (mg/dl)
OFIBRIN	Fibrinogen at Baseline (mg/dl)
CTEDEMA	Edema on Baseline CT
CTMASSEF	Mass Effect on Baseline CT
RCENTCD	Center Of Randomization
STRATUM	Study Randomization Stratum
SYMP	Any Hemorrhage during Trial
SYFATAL	Fatal Symptomatic Hemorrhage during Trial
PART	Designation of Trial (Part I or II)
BAR6M	Barthel Index at 6 Months (Intent to Treat Imputation)
RANK6M	Modified Rankin Scale at 6 Months (Intent to Treat Imputation)
GOS6M	Glasgow at 6 Months (Intent to Treat Imputation)
BAR12M	Barthel Index at 12 Months (Intent to Treat Imputation)
RANK12M	Modified Rankin Scale at 12 Months (Intent to Treat Imputation)
GOS12M	Glasgow at 12 Months (Intent to Treat Imputation)
ARANKIN	Rankin at 7-10 Days
rank3m	Modified Rankin Scale at 90 Days (Intent to Treat Imputation)
gos3m	Glasgow at 90 Days (Intent to Treat Imputation)
BNINETY	Barthel Index at 90 Days (Intent to Treat Imputation)
PRIMARY_	Primary Cause of Death
SURDAYS	Days from randomization to death/censored
DCENSOR	Indicates if Patient Died during Trial Follow-Up(Yes=dead)
BATHER	History of Atherosclerosis at Baseline
PSYS	Admission Systolic BP
PDIA	Admission Diastolic BP
DRINK	Drink Alcoholic Beverages at Baseline
NIHSSB	NIH Stroke Scale at Baseline
OSTRK	Patient Reported Prior Stroke or Old Stroke on Baseline CT
CARDIAC	History of Other Cardiac Disease at Baseline
CTFIND	Early Ischemic Stroke CT Findings(Edema or Mass Effect or Midline Shift or Intravascular Thrombus)on Baseline CT
CTFIND2	Early Ischemic Stroke CT findings(Edema or Mass Effect or Midline Shift)on Baseline CT
STARTMIN	Time from Stroke Onset to Treatment/Randomization (Minutes)
ATEMP	Admission Temperature
BPROB	Drinking Problem defined by Cage Questionnaire
BCHOL	History of Hyperlipidemia at Baseline
BHEP	History of Hepatic disease at Baseline
BMAL	History of Malignancy at Baseline
BHEMA	History of Hematological Disease at Baseline
BPRIOR	Drink In Past 24 Hrs
TDOSEDEL	Total Dose Delievered (mg) (based on estimated weight)
HEPARIN	Heparin Use prior Baseline Stroke
PPROS	Prosthetic Heart Disease at Admission
PRECCB	Calcium Channel Blocker at Baseline
PULSEBP	Baseline Pulse Pressure
